,avg_theta,avg_alpha,avg_theta_dot,avg_alpha_dot,max_theta,max_alpha,max_theta_dot,max_alpha_dot,sum_action,time_up,hit constraints,reward,successful,overshoot,rise_time,settling_time
0,0.618794858455658,0.8471062779426575,2.353996515274048,-0.1054031103849411,1.5553076267242432,3.1369502544403076,5.826979637145996,4.312694072723389,159,0,True,-66.66557359547355,False,,,
1,0.558327317237854,0.7020267248153687,1.7634809017181396,-0.00997568853199482,1.5645012855529785,3.141568899154663,5.11595344543457,2.9579262733459473,211,0,True,-59.95512544298346,False,,,
2,-0.5724173784255981,-0.8327251076698303,-1.776843547821045,-0.06975102424621582,0.06329567730426788,3.141037940979004,1.6422713994979858,3.8901898860931396,234,0,True,-58.155881198783675,False,,,
3,0.5375869274139404,0.6352642774581909,1.4624714851379395,0.10478059202432632,1.5677169561386108,3.1409926414489746,5.594019412994385,6.766820907592773,263,0,True,-48.25688012527076,False,,,
4,0.5906674861907959,1.165761947631836,2.916783332824707,-0.5239673852920532,1.5606166124343872,3.1372392177581787,6.951869487762451,3.522616147994995,117,0,True,-73.26456646119892,False,,,
5,0.6103976964950562,0.2866111695766449,-0.7813695669174194,0.2477346956729889,1.5220314264297485,3.141582489013672,5.201472759246826,12.486116409301758,525,0,True,13.311973916724554,False,,,
6,-0.593302845954895,-0.36720454692840576,-2.929666757583618,0.324202299118042,-0.015909366309642792,3.138827085494995,0.5855110883712769,4.331089973449707,152,0,True,-74.194349185407,False,,,
7,-0.5715429782867432,-0.5721564888954163,-3.071394443511963,0.8953848481178284,-0.002012236975133419,3.141103982925415,2.150087833404541,8.442110061645508,145,0,True,-72.6294285070934,False,,,
8,-0.5820779800415039,-0.39681634306907654,-2.3718295097351074,0.07536733895540237,0.016232984140515327,3.140784978866577,1.1885995864868164,9.634878158569336,180,0,True,-64.99085005707602,False,,,
9,-0.5163739919662476,-0.2987825870513916,-2.2714900970458984,-0.27848637104034424,0.05548899620771408,3.1414895057678223,1.387938141822815,6.8423333168029785,191,0,True,-62.313927401879944,False,,,
10,-0.6016986966133118,-2.904669761657715,-2.818826913833618,0.005839083809405565,-0.004683839622884989,3.141274929046631,0.6057292819023132,3.264007091522217,162,0,True,-74.03710312531639,False,,,
11,-0.580390453338623,-0.5741238594055176,-2.950935125350952,-0.36555004119873047,0.04388216510415077,3.141284227371216,1.7246803045272827,3.8338510990142822,160,0,True,-72.82121191841898,False,,,
12,-0.5302551984786987,-0.8722337484359741,-3.4089581966400146,1.1305848360061646,0.006544444244354963,3.1410017013549805,1.8285869359970093,5.904273509979248,144,0,True,-75.91452329628385,False,,,
13,-0.649275541305542,-1.2293411493301392,-3.372887134552002,-0.4592154324054718,0.0039044241420924664,3.141049385070801,0.5886943936347961,3.7775113582611084,146,0,True,-75.68288562148071,False,,,
14,-0.7456555962562561,-1.4466861486434937,-3.9466562271118164,-0.48793235421180725,-0.002559412969276309,3.140220880508423,-0.01412699930369854,5.063282489776611,131,0,True,-78.55045832507355,False,,,
15,-0.6719694137573242,-2.5372753143310547,-3.615159511566162,-0.23003309965133667,0.012065466493368149,3.132530689239502,0.01724504865705967,3.4892544746398926,134,0,True,-78.45144236492028,False,,,
16,-0.5605596899986267,-2.659938335418701,-4.286937236785889,1.098982810974121,0.0021936974953860044,3.1386988162994385,-0.0055002509616315365,3.551936626434326,125,0,True,-78.6810715595755,False,,,
17,-0.642747163772583,-0.5241453051567078,-3.328463554382324,0.0074730911292135715,0.01381304394453764,3.1407175064086914,-0.005380698479712009,6.305701732635498,141,0,True,-74.94999681807442,False,,,
18,-0.6400181651115417,-2.7558646202087402,-5.267542362213135,1.7290459871292114,0.0030880137346684933,-2.488823652267456,0.6172189116477966,4.860443592071533,112,0,True,-80.66088800570742,False,,,
19,-0.5089856386184692,-2.296703577041626,-3.556342840194702,0.6682233214378357,0.031007925048470497,3.1410624980926514,1.1725945472717285,3.5061211585998535,139,0,True,-76.33882442260226,False,,,
20,-0.5560823082923889,-1.6105461120605469,-3.4815845489501953,0.2874155044555664,0.005516321863979101,3.137772560119629,0.5969820022583008,3.153918981552124,141,0,True,-77.82476187659937,False,,,
21,-0.6979159116744995,-1.843052864074707,-3.878549098968506,-0.44433829188346863,0.01880892924964428,3.13891863822937,-0.004275877960026264,4.990444183349609,127,0,True,-78.55300184896484,False,,,
22,-0.745273232460022,-2.384826183319092,-4.591128349304199,0.11005949229001999,0.006683071609586477,3.1389360427856445,-0.01982036419212818,5.107157230377197,113,0,True,-79.97701703595045,False,,,
23,-0.7502188682556152,-1.9735219478607178,-4.214727401733398,-0.42288631200790405,-0.0028587020933628082,3.1289291381835938,-0.01337878592312336,4.92334508895874,127,0,True,-79.91185753783489,False,,,
24,-0.6648122668266296,-2.7518506050109863,-4.2498650550842285,0.24327121675014496,0.0002236229629488662,3.1405982971191406,-0.012149175629019737,4.698866844177246,127,0,True,-80.98048971516609,False,,,
25,-0.6639156937599182,-2.876312255859375,-4.378531455993652,0.19564780592918396,-0.00031604678952135146,-2.677783727645874,0.049821946769952774,4.434147357940674,125,0,True,-79.80824079047235,False,,,
26,-0.5751163959503174,-2.815131425857544,-4.675020694732666,1.46707284450531,-0.01014852523803711,-2.563483476638794,0.7107340693473816,5.050209999084473,124,0,True,-79.51528008887097,False,,,
27,-0.5512606501579285,-1.4590978622436523,-3.7351291179656982,0.8957476019859314,0.008274602703750134,3.1413609981536865,1.2049691677093506,6.179648399353027,131,0,True,-78.28014005232106,False,,,
28,-0.5849756002426147,-1.5683914422988892,-3.2954137325286865,-0.11359094828367233,-0.017795108258724213,3.14146089553833,0.6814083456993103,4.015961170196533,152,0,True,-75.5607019110561,False,,,
29,-0.49490517377853394,-2.5479636192321777,-3.0767595767974854,0.04485933855175972,0.005568810272961855,3.1395909786224365,0.9150987267494202,4.533926010131836,156,0,True,-73.86952684032633,False,,,
30,-0.6072633266448975,-2.9241957664489746,-4.403945446014404,0.7034845948219299,-0.004329761955887079,-2.818110704421997,-0.009828779846429825,3.937452554702759,126,0,True,-80.53364016901484,False,,,
31,-0.7104485630989075,-2.8442084789276123,-4.622300624847412,0.20827849209308624,-0.001746614114381373,-2.6516833305358887,0.01187263336032629,4.9843974113464355,119,0,True,-80.49181215697612,False,,,
32,-0.7037175297737122,-2.4822192192077637,-4.961544036865234,0.768440306186676,0.007047299295663834,3.141434907913208,-0.005615188740193844,5.157110691070557,114,0,True,-80.58875757405414,False,,,
33,-0.6762036681175232,-2.3715734481811523,-4.3921685218811035,0.29417067766189575,-0.002234486397355795,3.1403746604919434,1.1941487789154053,5.067044734954834,127,0,True,-79.83230400049402,False,,,
34,-0.6334027051925659,-2.8200185298919678,-4.809431552886963,0.941635012626648,-0.00017376495816279203,-2.6343631744384766,0.04487873613834381,4.893810272216797,119,0,True,-80.456591162437,False,,,
35,-0.6436582803726196,-2.606218099594116,-6.286550045013428,3.14129638671875,-0.010745127685368061,3.1404359340667725,-0.007950394414365292,5.179624557495117,102,0,True,-83.1901976046481,False,,,
36,-0.6153684258460999,-2.3027539253234863,-3.8773412704467773,0.20770058035850525,0.009046518243849277,3.1378707885742188,0.5764466524124146,3.7311060428619385,131,0,True,-77.81155065698425,False,,,
37,-0.5089940428733826,-0.718572199344635,-2.903688669204712,0.6486682295799255,0.010784893296658993,3.1389896869659424,0.6132822632789612,5.999763488769531,162,0,True,-73.7243952122034,False,,,
38,-0.5454598665237427,-2.9143683910369873,-4.147787570953369,0.8507288098335266,-0.001213262090459466,-2.8068835735321045,0.6293745040893555,3.3863091468811035,130,0,True,-79.04383191136522,False,,,
39,-0.5803096294403076,-2.6847198009490967,-4.292070388793945,0.8693372011184692,0.0010682848514989018,3.1415040493011475,0.00035303193726576865,3.5101871490478516,122,0,True,-79.39388155072909,False,,,
40,-0.7147178053855896,-1.356711745262146,-3.948606252670288,-0.29274797439575195,-0.009743434377014637,3.1385984420776367,-0.01945817656815052,5.257535457611084,129,0,True,-79.36769418461282,False,,,
41,-0.6886727809906006,-0.8370505571365356,-3.7939884662628174,-0.15699681639671326,0.004245354328304529,3.128430128097534,0.3007095158100128,5.4965667724609375,133,0,True,-77.80050370542116,False,,,
42,-0.6268354654312134,-2.653564691543579,-5.054849147796631,1.4049499034881592,0.001272191759198904,3.1411919593811035,-0.009119495749473572,4.522557258605957,116,0,True,-81.00942943149441,False,,,
43,-0.6977652311325073,-2.7877211570739746,-4.966833591461182,0.8260602951049805,-0.009591378271579742,-2.580331563949585,-0.007663425523787737,6.399788856506348,115,0,True,-80.87136424641514,False,,,
44,-0.6671245098114014,-2.731323003768921,-5.559130668640137,1.7659496068954468,0.015735572203993797,-2.4956259727478027,5.043750934419222e-05,6.676610946655273,113,0,True,-81.119126167961,False,,,
45,-0.6287751793861389,-2.6430165767669678,-4.600589752197266,0.8113610744476318,-0.0011171281803399324,3.138665199279785,-0.01225315686315298,4.635936260223389,122,0,True,-80.43644659994226,False,,,
46,-0.5897276997566223,-2.5423669815063477,-4.245828151702881,0.5604754686355591,0.034303195774555206,3.139631748199463,0.012486152350902557,3.614818811416626,128,0,True,-78.14336229031197,False,,,
47,-0.6667585968971252,-2.6467318534851074,-4.539035320281982,0.4211035966873169,0.015462618321180344,3.138437509536743,-0.010405950248241425,4.268391132354736,121,0,True,-79.91107542928191,False,,,
48,-0.7313766479492188,-2.2319843769073486,-3.8798768520355225,-0.6503686904907227,0.007445462513715029,3.1368284225463867,0.018310362473130226,4.7855072021484375,126,0,True,-77.66565651131803,False,,,
49,-0.6559271812438965,-2.9508323669433594,-4.043475151062012,-0.020119311287999153,0.001096934312954545,-2.757904052734375,0.016277283430099487,3.590881586074829,124,0,True,-80.04215070261827,False,,,
50,-0.6896450519561768,-2.4965860843658447,-5.290914058685303,1.4085514545440674,0.013943121768534184,3.139538526535034,-0.015155000612139702,4.717295169830322,107,0,True,-80.77013729539595,False,,,
51,-0.6434857249259949,-2.7883212566375732,-5.152467727661133,1.4440321922302246,0.009567898698151112,-2.5573794841766357,0.0013107330305501819,4.017641544342041,113,0,True,-80.81917920390144,False,,,
52,-0.6185057163238525,-2.459585666656494,-4.930213451385498,1.3982025384902954,0.02679138258099556,3.13861083984375,-0.008010463789105415,5.1930012702941895,115,0,True,-79.32752312992035,False,,,
53,-0.643634021282196,-2.7542805671691895,-5.361105918884277,1.7548612356185913,0.001754252938553691,-2.498253107070923,0.00343727576546371,4.570366859436035,112,0,True,-81.16263542849842,False,,,
54,-0.7477055191993713,-1.4525178670883179,-3.684091329574585,-0.6377549171447754,-0.014787686988711357,3.1408774852752686,-0.009482457302510738,4.861457824707031,134,0,True,-77.85748023852955,False,,,
55,-0.5446874499320984,-2.6629440784454346,-4.086720943450928,1.0681073665618896,0.007384023629128933,3.139028310775757,1.416869044303894,5.6951727867126465,130,0,True,-77.22245542212991,False,,,
56,-0.6677900552749634,-2.771672248840332,-5.047564506530762,1.063145399093628,0.006636783014982939,-2.539546012878418,0.035005949437618256,5.401881694793701,111,0,True,-80.38913312634304,False,,,
